Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
4.271472320556640625e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.539000000000000057e+01,2.937000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.281378817558288574e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.567999999999999972e+01,2.937000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.291290662288665771e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.571000000000000085e+01,2.946999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.301196115016937256e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.596999999999999886e+01,2.933999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.311110193729400635e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.603999999999999915e+01,2.946999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.321019272804260254e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.620000000000000284e+01,2.933999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.330927977561950684e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.635999999999999943e+01,2.933999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.340835168361663818e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.639000000000000057e+01,2.941000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.350744440555572510e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.667999999999999972e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.360653169155120850e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.667999999999999972e+01,2.930999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.370564548969268799e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.693999999999999773e+01,2.937000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.380472769737243652e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.700000000000000000e+01,2.928000000000000114e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.390374650955200195e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.728999999999999915e+01,2.930999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.400279757976531982e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.735999999999999943e+01,2.937000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.410189101696014404e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.760999999999999943e+01,2.937000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.420102710723876953e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.764999999999999858e+01,2.930999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.430013599395751953e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.786999999999999744e+01,2.930999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.439925382137298584e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.796999999999999886e+01,2.937000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.449840686321258545e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.800000000000000000e+01,2.941000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
